project_id,domain,complexity_level,team_size,duration_months,sprint_length_weeks,num_sprints,total_user_stories,avg_story_points,velocity_per_sprint,tech_stack_difficulty,requirement_volatility_score,actual_effort_hours,actual_cost_usd,risk_level
project_00040,EdTech,Low,5,2,2,4,14,3.0,12.0,Basic,Medium,1968.09,72985.15,Low
project_00041,EdTech,Medium,7,8,2,16,19,4.4,24.6,Intermediate,Medium,17580.95,810831.21,Medium
project_00042,IoT,High,11,9,2,18,30,5.6,49.3,Advanced,High,48832.03,2772557.36,High
project_00043,EdTech,Low,3,4,2,8,10,2.9,7.0,Basic,Low,2036.51,72073.81,Low
project_00044,E-commerce,Medium,6,8,2,16,17,4.3,20.6,Intermediate,High,16321.36,697974.72,High
project_00045,AI Platform,High,8,7,2,14,28,6.2,39.7,Intermediate,High,25723.63,1526242.0,High
project_00046,IoT,Low,4,2,2,4,12,2.8,9.0,Basic,Medium,1610.19,52965.53,Low
project_00047,SaaS,Medium,5,5,2,10,18,5.9,23.6,Basic,High,7612.92,374431.33,High
project_00048,Cloud System,High,11,7,2,14,25,5.5,48.4,Advanced,High,41476.51,2194466.89,High
project_00049,SaaS,Low,5,2,2,4,15,4.0,16.0,Basic,Medium,1941.72,75175.29,Low
project_00050,AI Platform,Medium,8,5,2,10,16,5.0,32.0,Intermediate,Low,11036.25,444976.09,Medium
project_00051,IoT,High,8,6,2,12,21,6.1,39.0,Intermediate,High,20750.21,1168795.52,High
project_00052,FinTech,Low,4,3,2,6,12,3.5,11.2,Basic,Medium,2314.23,78116.18,Low
project_00053,IoT,Medium,5,6,2,12,16,4.2,16.8,Basic,Medium,7611.98,315589.93,Medium
project_00054,E-commerce,High,8,6,2,12,25,6.9,44.2,Advanced,Medium,23335.34,1353431.91,High
project_00055,Healthcare,Low,3,3,2,6,15,2.3,5.5,Basic,Low,1520.86,53312.55,Low
project_00056,Healthcare,Medium,5,6,2,12,20,5.1,20.4,Basic,High,9218.94,383670.56,High
project_00057,EdTech,High,11,9,2,18,22,6.7,59.0,Advanced,High,50585.05,2788774.9,High
project_00058,Healthcare,Low,4,4,2,8,15,2.3,7.4,Basic,Low,2758.97,100315.45,Low
project_00059,Cloud System,Medium,7,5,2,10,17,5.8,32.5,Intermediate,High,12121.83,589962.91,High
project_00060,FinTech,High,11,12,2,24,21,5.1,44.9,Intermediate,Medium,46638.24,2459500.97,High
project_00061,AI Platform,Low,5,4,2,8,15,2.5,10.0,Basic,Low,3444.18,102329.93,Low
project_00062,AI Platform,Medium,6,7,2,14,20,4.5,21.6,Basic,Medium,10696.03,413731.56,Medium
project_00063,Cloud System,High,8,7,2,14,24,5.3,33.9,Intermediate,High,25377.42,1315932.45,High
project_00064,E-commerce,Low,5,3,2,6,12,3.6,14.4,Basic,Low,2548.2,77610.93,Low
project_00065,Cloud System,Medium,5,7,2,14,21,4.3,17.2,Basic,Medium,8804.59,365140.6,Medium
project_00066,FinTech,High,9,7,2,14,29,6.0,43.2,Advanced,High,33643.5,1822871.87,High
project_00067,E-commerce,Low,5,4,2,8,13,3.7,14.8,Basic,Medium,3769.85,117921.98,Low
project_00068,IoT,Medium,5,7,2,14,18,4.3,17.2,Basic,Low,7833.33,358122.12,Medium
project_00069,Cloud System,High,9,6,2,12,20,5.6,40.3,Advanced,High,28041.69,1615895.45,High
project_00070,FinTech,Low,3,2,2,4,11,2.1,5.0,Basic,Low,1045.6,44059.83,Low
project_00071,Cloud System,Medium,8,4,2,8,17,4.6,29.4,Basic,High,9525.01,364030.26,High
project_00072,E-commerce,High,9,6,2,12,27,5.2,37.4,Advanced,High,28092.68,1474758.11,High
project_00073,SaaS,Low,4,4,2,8,10,3.0,9.6,Basic,Low,2717.68,110751.99,Low
project_00074,EdTech,Medium,8,6,2,12,19,5.7,36.5,Intermediate,Medium,15016.12,662228.36,Medium
project_00075,EdTech,High,9,10,2,20,22,6.5,46.8,Intermediate,Medium,34421.15,1888687.1,High
project_00076,IoT,Low,5,3,2,6,14,3.2,12.8,Basic,Medium,2883.07,115074.31,Low
project_00077,EdTech,Medium,7,7,2,14,19,4.3,24.1,Intermediate,High,17551.06,844263.83,High
project_00078,IoT,High,11,8,2,16,26,7.1,62.5,Advanced,High,47205.59,2489475.17,High
project_00079,Healthcare,Low,4,3,2,6,11,2.7,8.6,Basic,Low,1982.27,63081.85,Low
project_00080,EdTech,Medium,8,6,2,12,22,5.4,34.6,Intermediate,High,17648.47,688017.5,High
project_00081,AI Platform,High,12,9,2,18,26,7.9,75.8,Advanced,Medium,51566.27,2721189.42,High
project_00082,E-commerce,Low,4,3,2,6,10,3.2,10.2,Basic,Medium,2334.99,86285.45,Low
project_00083,Healthcare,Medium,6,5,2,10,16,4.8,23.0,Intermediate,Medium,9129.53,435604.49,Medium
project_00084,Cloud System,High,12,12,2,24,30,5.0,48.0,Advanced,High,76094.59,4028041.19,High
project_00085,E-commerce,Low,5,2,2,4,12,3.9,15.6,Basic,Low,1820.42,59422.52,Low
project_00086,AI Platform,Medium,6,7,2,14,17,4.3,20.6,Basic,Medium,10081.6,449860.88,Medium
project_00087,FinTech,High,10,9,2,18,27,6.3,50.4,Advanced,High,45142.29,2617749.77,High
project_00088,EdTech,Low,5,3,2,6,13,2.9,11.6,Basic,Low,2433.44,100481.18,Low
project_00089,Healthcare,Medium,6,7,2,14,20,5.4,25.9,Intermediate,High,15223.22,685666.88,High
project_00090,FinTech,High,8,6,2,12,23,6.6,42.2,Advanced,High,24740.05,1333458.95,High
project_00091,SaaS,Low,4,4,2,8,13,3.1,9.9,Basic,Medium,3047.38,100547.96,Low
project_00092,SaaS,Medium,6,6,2,12,16,5.2,25.0,Intermediate,High,12724.31,643588.33,High
project_00093,EdTech,High,12,7,2,14,27,7.8,74.9,Advanced,Medium,38522.74,1965214.05,High
project_00094,EdTech,Low,3,2,2,4,14,2.7,6.5,Basic,Low,1064.36,36248.19,Low
project_00095,Healthcare,Medium,7,6,2,12,19,4.4,24.6,Intermediate,Medium,13695.16,550295.51,Medium
project_00096,Healthcare,High,11,11,2,22,25,5.8,51.0,Advanced,High,63601.84,3374947.1,High
project_00097,Healthcare,Low,3,2,2,4,13,3.1,7.4,Basic,Low,1123.89,44376.84,Low
project_00098,IoT,Medium,7,6,2,12,22,5.1,28.6,Basic,High,11991.14,503196.03,High
project_00099,Cloud System,High,9,8,2,16,20,5.5,39.6,Advanced,Medium,31266.06,1649624.66,High
project_00100,E-commerce,Low,5,4,2,8,14,2.2,8.8,Basic,Low,3223.08,125601.0,Low
project_00101,AI Platform,Medium,8,5,2,10,15,5.4,34.6,Intermediate,Medium,11906.64,541509.95,Medium
project_00102,Cloud System,High,12,7,2,14,29,5.8,55.7,Advanced,High,41898.67,2360595.3,High
project_00103,Healthcare,Low,3,2,2,4,14,2.8,6.7,Basic,Low,1120.59,41255.44,Low
project_00104,AI Platform,Medium,6,5,2,10,19,4.7,22.6,Intermediate,Medium,9870.85,388689.66,Medium
project_00105,IoT,High,11,12,2,24,29,6.7,59.0,Intermediate,Medium,51101.93,2603560.65,High
project_00106,Cloud System,Low,3,3,2,6,11,3.5,8.4,Basic,Low,1597.71,49836.09,Low
project_00107,Healthcare,Medium,7,7,2,14,16,4.4,24.6,Intermediate,High,17495.49,745354.39,High
project_00108,EdTech,High,9,10,2,20,28,7.1,51.1,Intermediate,Medium,35181.3,1834586.9,High
project_00109,Cloud System,Low,5,3,2,6,15,2.6,10.4,Basic,Low,2537.48,102111.38,Low
project_00110,FinTech,Medium,8,7,2,14,20,4.9,31.4,Basic,High,16117.07,702827.98,High
project_00111,Cloud System,High,9,7,2,14,29,7.0,50.4,Advanced,High,34038.2,1743273.1,High
project_00112,SaaS,Low,5,4,2,8,14,2.7,10.8,Basic,Low,3349.99,123898.02,Low
project_00113,E-commerce,Medium,6,5,2,10,20,5.7,27.4,Intermediate,High,11416.44,552987.61,High
project_00114,E-commerce,High,9,6,2,12,27,6.5,46.8,Advanced,High,28439.72,1487159.84,High
project_00115,E-commerce,Low,3,2,2,4,13,3.8,9.1,Basic,Low,1105.95,35689.82,Low
project_00116,E-commerce,Medium,5,7,2,14,16,4.7,18.8,Intermediate,Medium,10787.54,472553.86,Medium
project_00117,Healthcare,High,11,7,2,14,24,7.9,69.5,Intermediate,High,34776.71,1769294.1,High
project_00118,FinTech,Low,4,2,2,4,11,3.1,9.9,Basic,Low,1367.43,57094.86,Low
project_00119,EdTech,Medium,7,7,2,14,20,4.1,23.0,Basic,High,13250.31,647299.9,High
project_00120,E-commerce,High,10,9,2,18,21,5.4,43.2,Intermediate,High,38737.88,1966034.07,High
project_00121,IoT,Low,3,3,2,6,13,2.8,6.7,Basic,Low,1614.6,59934.49,Low
project_00122,EdTech,Medium,5,4,2,8,16,4.1,16.4,Intermediate,Medium,6515.83,324792.25,Medium
project_00123,Healthcare,High,9,10,2,20,26,5.7,41.0,Advanced,Medium,41697.12,2317660.0,High
project_00124,EdTech,Low,3,2,2,4,11,2.1,5.0,Basic,Medium,1144.76,38587.48,Low
project_00125,FinTech,Medium,5,5,2,10,15,5.8,23.2,Basic,High,7583.31,323584.24,High
project_00126,Cloud System,High,8,6,2,12,20,5.5,35.2,Intermediate,High,21744.36,1173247.5,High
project_00127,EdTech,Low,4,3,2,6,12,3.2,10.2,Basic,Low,2123.45,65787.37,Low
project_00128,Cloud System,Medium,6,7,2,14,20,4.3,20.6,Intermediate,Medium,13736.13,589289.09,Medium
project_00129,IoT,High,11,12,2,24,21,6.4,56.3,Intermediate,Medium,46739.94,2794505.85,High
project_00130,Cloud System,Low,5,2,2,4,12,2.7,10.8,Basic,Medium,1820.18,69125.51,Low
project_00131,Healthcare,Medium,6,7,2,14,16,4.2,20.2,Basic,Medium,9939.31,497335.44,Medium
project_00132,SaaS,High,9,12,2,24,24,5.7,41.0,Advanced,High,52656.23,3135444.66,High
project_00133,Cloud System,Low,3,2,2,4,15,3.1,7.4,Basic,Low,1159.47,33694.83,Low
project_00134,Healthcare,Medium,6,7,2,14,21,5.6,26.9,Intermediate,Medium,13974.98,636536.23,Medium
project_00135,EdTech,High,8,6,2,12,24,6.5,41.6,Intermediate,High,21582.3,1238119.8,High
project_00136,FinTech,Low,5,2,2,4,11,3.6,14.4,Basic,Medium,1998.34,70071.67,Low
project_00137,IoT,Medium,5,4,2,8,15,5.5,22.0,Intermediate,Low,5678.57,253965.65,Medium
project_00138,E-commerce,High,8,7,2,14,28,7.6,48.6,Advanced,High,29397.65,1759589.68,High
project_00139,Cloud System,Low,4,4,2,8,14,3.2,10.2,Basic,Medium,2969.76,120794.46,Low
project_00140,E-commerce,Medium,5,7,2,14,16,4.8,19.2,Intermediate,High,11882.31,535677.33,High
project_00141,Healthcare,High,11,8,2,16,25,6.2,54.6,Intermediate,High,36892.7,1950135.95,High
project_00142,AI Platform,Low,4,2,2,4,14,3.6,11.5,Basic,Low,1458.98,48626.46,Low
project_00143,SaaS,Medium,8,7,2,14,20,5.7,36.5,Basic,Medium,13656.87,663170.08,Medium
project_00144,SaaS,High,11,6,2,12,23,6.8,59.8,Advanced,High,35426.42,2080033.66,High
project_00145,EdTech,Low,3,3,2,6,15,2.6,6.2,Basic,Medium,1673.77,61992.17,Low
project_00146,AI Platform,Medium,8,7,2,14,17,4.5,28.8,Intermediate,Medium,16681.71,818461.04,Medium
project_00147,EdTech,High,12,7,2,14,24,7.2,69.1,Intermediate,High,37497.5,1798377.12,High
project_00148,SaaS,Low,5,3,2,6,13,2.6,10.4,Basic,Low,2601.51,89431.18,Low
project_00149,AI Platform,Medium,5,5,2,10,19,4.4,17.6,Basic,Medium,6541.59,285269.83,Medium
project_00150,IoT,High,8,9,2,18,24,5.5,35.2,Advanced,Medium,31843.63,1628401.17,High
project_00151,SaaS,Low,3,4,2,8,13,2.6,6.2,Basic,Low,2140.96,73077.93,Low
project_00152,SaaS,Medium,5,7,2,14,15,4.0,16.0,Basic,Low,7865.96,335208.11,Medium
project_00153,IoT,High,8,8,2,16,20,5.3,33.9,Advanced,High,34141.9,2019506.71,High
project_00154,EdTech,Low,4,4,2,8,15,2.2,7.0,Basic,Low,2611.1,85126.06,Low
project_00155,Cloud System,Medium,5,4,2,8,16,5.6,22.4,Basic,Low,4620.36,194280.71,Medium
project_00156,FinTech,High,8,11,2,22,28,7.8,49.9,Intermediate,High,40410.26,1980197.65,High
project_00157,AI Platform,Low,3,2,2,4,15,3.9,9.4,Basic,Low,1222.28,39193.16,Low
project_00158,Cloud System,Medium,8,7,2,14,22,5.5,35.2,Intermediate,Medium,16876.76,741862.04,Medium
project_00159,Cloud System,High,11,11,2,22,27,5.4,47.5,Advanced,High,62469.1,3178878.41,High
project_00160,Healthcare,Low,3,3,2,6,13,3.4,8.2,Basic,Low,1588.55,55675.68,Low
project_00161,FinTech,Medium,7,8,2,16,21,4.9,27.4,Intermediate,Medium,16773.89,835396.35,Medium
project_00162,EdTech,High,11,10,2,20,25,5.0,44.0,Advanced,Medium,46823.48,2775881.36,High
project_00163,SaaS,Low,5,4,2,8,13,2.3,9.2,Basic,Low,3341.41,123707.81,Low
project_00164,SaaS,Medium,8,8,2,16,22,4.6,29.4,Intermediate,Medium,20510.46,882864.86,Medium
project_00165,E-commerce,High,10,12,2,24,26,6.2,49.6,Advanced,High,62006.19,3264178.37,High
project_00166,E-commerce,Low,4,3,2,6,11,4.0,12.8,Basic,Medium,2371.37,88686.54,Low
project_00167,E-commerce,Medium,5,6,2,12,15,5.1,20.4,Basic,Medium,7681.99,350585.44,Medium
project_00168,FinTech,High,9,7,2,14,28,6.1,43.9,Advanced,High,34886.93,1816943.66,High
project_00169,AI Platform,Low,4,3,2,6,13,2.9,9.3,Basic,Low,2032.91,77856.95,Low
project_00170,SaaS,Medium,7,6,2,12,21,5.9,33.0,Intermediate,Low,12191.72,558746.6,Medium
project_00171,IoT,High,8,10,2,20,26,5.6,35.8,Intermediate,High,34334.29,1997418.86,High
project_00172,EdTech,Low,5,3,2,6,14,3.8,15.2,Basic,Low,2492.37,86773.88,Low
project_00173,Cloud System,Medium,6,6,2,12,18,5.0,24.0,Intermediate,Low,10528.36,431164.65,Medium
project_00174,Cloud System,High,8,12,2,24,30,7.4,47.4,Advanced,High,52262.91,2842051.71,High
project_00175,AI Platform,Low,5,4,2,8,13,3.4,13.6,Basic,Medium,3593.88,119417.76,Low
project_00176,Cloud System,Medium,7,5,2,10,19,4.6,25.8,Basic,High,9827.56,444434.14,High
project_00177,SaaS,High,12,9,2,18,30,5.6,53.8,Advanced,Medium,48188.04,2872951.15,High
project_00178,EdTech,Low,3,3,2,6,10,3.8,9.1,Basic,Low,1620.09,58946.25,Low
project_00179,Healthcare,Medium,5,8,2,16,20,5.6,22.4,Intermediate,Medium,12581.9,614657.98,Medium
project_00180,E-commerce,High,8,8,2,16,20,7.0,44.8,Intermediate,Medium,25217.45,1260966.51,High
project_00181,Cloud System,Low,4,4,2,8,14,3.6,11.5,Basic,Low,2880.76,98743.94,Low
project_00182,EdTech,Medium,7,7,2,14,16,5.3,29.7,Intermediate,High,17583.89,731972.65,High
project_00183,Cloud System,High,10,7,2,14,24,7.5,60.0,Advanced,High,37251.68,1940707.65,High
project_00184,Cloud System,Low,4,2,2,4,11,2.4,7.7,Basic,Medium,1547.21,48035.84,Low
project_00185,Healthcare,Medium,8,7,2,14,19,5.3,33.9,Intermediate,Medium,16713.41,670853.64,Medium
project_00186,EdTech,High,9,6,2,12,28,5.8,41.8,Intermediate,Medium,21088.74,1243120.76,High
project_00187,AI Platform,Low,4,3,2,6,10,3.9,12.5,Basic,Low,1998.07,61397.66,Low
project_00188,E-commerce,Medium,6,6,2,12,21,4.4,21.1,Intermediate,High,12448.09,550449.13,High
project_00189,Healthcare,High,11,6,2,12,29,5.6,49.3,Advanced,Medium,31136.41,1787393.62,High
project_00190,Healthcare,Low,4,2,2,4,11,3.5,11.2,Basic,Low,1418.99,45333.65,Low
project_00191,FinTech,Medium,7,7,2,14,21,4.3,24.1,Basic,Low,10899.04,434610.81,Medium
project_00192,E-commerce,High,11,9,2,18,28,5.9,51.9,Advanced,Medium,44591.34,2242901.84,High
project_00193,Healthcare,Low,5,4,2,8,12,2.6,10.4,Basic,Low,3225.72,135576.16,Low
project_00194,Healthcare,Medium,6,7,2,14,21,5.1,24.5,Intermediate,High,14636.74,660221.42,High
project_00195,SaaS,High,9,8,2,16,20,6.6,47.5,Advanced,Medium,33417.71,1960704.46,High
project_00196,Healthcare,Low,4,3,2,6,10,2.2,7.0,Basic,Low,2037.01,72122.03,Low
project_00197,SaaS,Medium,5,8,2,16,21,4.3,17.2,Basic,Low,9023.0,380135.62,Medium
project_00198,IoT,High,10,7,2,14,21,6.0,48.0,Intermediate,Medium,26162.08,1530592.37,High
project_00199,AI Platform,Low,3,4,2,8,10,3.3,7.9,Basic,Low,2071.27,68905.74,Low
project_00200,FinTech,Medium,5,7,2,14,21,5.4,21.6,Intermediate,Medium,11239.1,564336.95,Medium
project_00201,E-commerce,High,12,12,2,24,27,5.1,49.0,Advanced,Medium,61069.11,3762554.42,High
project_00202,FinTech,Low,4,4,2,8,10,3.0,9.6,Basic,Low,2796.33,85801.28,Low
project_00203,Cloud System,Medium,7,4,2,8,15,5.5,30.8,Basic,Low,6237.2,266426.46,Medium
project_00204,IoT,High,8,12,2,24,25,7.4,47.4,Advanced,Medium,45445.37,2315591.06,High
project_00205,IoT,Low,4,4,2,8,15,2.0,6.4,Basic,Low,2775.75,107100.3,Low
project_00206,FinTech,Medium,8,7,2,14,19,5.7,36.5,Intermediate,High,20214.2,958399.63,High
project_00207,E-commerce,High,8,7,2,14,25,7.5,48.0,Advanced,High,29544.92,1759483.07,High
project_00208,EdTech,Low,5,3,2,6,12,3.3,13.2,Basic,Low,2467.26,75113.33,Low
project_00209,AI Platform,Medium,7,7,2,14,15,4.3,24.1,Intermediate,Medium,14570.2,705720.43,Medium
project_00210,IoT,High,11,9,2,18,29,7.2,63.4,Advanced,High,50985.55,2555811.98,High
project_00211,Cloud System,Low,4,2,2,4,12,2.8,9.0,Basic,Low,1428.75,49281.44,Low
project_00212,IoT,Medium,7,7,2,14,22,5.7,31.9,Basic,Medium,11895.18,594766.41,Medium
project_00213,SaaS,High,8,8,2,16,28,7.5,48.0,Intermediate,High,29582.17,1644589.78,High
project_00214,IoT,Low,5,3,2,6,10,2.9,11.6,Basic,Low,2553.39,79749.21,Low
project_00215,IoT,Medium,5,5,2,10,19,5.0,20.0,Basic,Medium,6366.4,285506.68,Medium
project_00216,SaaS,High,10,9,2,18,27,7.2,57.6,Advanced,High,45798.42,2648323.73,High
project_00217,FinTech,Low,4,3,2,6,12,2.1,6.7,Basic,Low,1928.04,59616.82,Low
project_00218,SaaS,Medium,7,8,2,16,19,4.3,24.1,Intermediate,Medium,16616.61,850376.85,Medium
project_00219,Cloud System,High,8,6,2,12,20,5.8,37.1,Advanced,Medium,21279.39,1157776.92,High
project_00220,Healthcare,Low,4,2,2,4,15,2.0,6.4,Basic,Low,1422.05,51699.68,Low
project_00221,EdTech,Medium,7,8,2,16,21,5.0,28.0,Basic,Medium,14234.64,596442.68,Medium
project_00222,Cloud System,High,11,7,2,14,30,6.7,59.0,Intermediate,Medium,29589.03,1530480.09,High
project_00223,SaaS,Low,4,4,2,8,10,3.1,9.9,Basic,Low,2801.27,100824.82,Low
project_00224,Healthcare,Medium,5,7,2,14,18,5.3,21.2,Intermediate,High,13058.84,568580.82,High
project_00225,E-commerce,High,9,9,2,18,22,5.8,41.8,Advanced,High,43301.11,2451045.12,High
project_00226,E-commerce,Low,4,3,2,6,14,2.8,9.0,Basic,Low,2150.44,62806.75,Low
project_00227,SaaS,Medium,6,7,2,14,22,5.5,26.4,Basic,Medium,10463.33,534611.02,Medium
project_00228,E-commerce,High,9,6,2,12,30,5.1,36.7,Advanced,High,28852.05,1600656.38,High
project_00229,E-commerce,Low,5,3,2,6,15,3.0,12.0,Basic,Low,2501.32,86220.95,Low
project_00230,IoT,Medium,8,8,2,16,17,5.2,33.3,Intermediate,Medium,20404.55,916847.25,Medium
project_00231,FinTech,High,12,12,2,24,28,5.3,50.9,Intermediate,High,61990.0,3392027.97,High
project_00232,IoT,Low,5,3,2,6,14,2.3,9.2,Basic,Low,2430.08,85041.61,Low
project_00233,EdTech,Medium,6,8,2,16,21,5.7,27.4,Basic,Medium,11693.5,532994.23,Medium
project_00234,IoT,High,8,7,2,14,27,7.9,50.6,Advanced,Medium,26444.17,1375543.74,High
project_00235,FinTech,Low,4,3,2,6,13,2.4,7.7,Basic,Medium,2139.88,75596.96,Low
project_00236,SaaS,Medium,7,7,2,14,15,4.6,25.8,Intermediate,Medium,15772.28,622336.41,Medium
project_00237,EdTech,High,8,7,2,14,26,6.8,43.5,Advanced,High,30107.2,1665840.45,High
project_00238,FinTech,Low,3,3,2,6,14,3.4,8.2,Basic,Medium,1770.35,71617.45,Low
project_00239,EdTech,Medium,7,6,2,12,21,5.2,29.1,Intermediate,Medium,13156.3,599289.04,Medium
project_00240,AI Platform,High,12,6,2,12,29,7.5,72.0,Intermediate,High,32618.08,1926760.02,High
project_00241,FinTech,Low,5,4,2,8,11,3.7,14.8,Basic,Low,3475.14,99723.85,Low
project_00242,E-commerce,Medium,7,8,2,16,18,5.4,30.2,Intermediate,Medium,17947.42,839877.59,Medium
project_00243,SaaS,High,9,7,2,14,24,5.8,41.8,Advanced,High,32430.94,1652935.02,High
project_00244,FinTech,Low,4,4,2,8,11,3.5,11.2,Basic,Low,2702.18,104167.61,Low
project_00245,AI Platform,Medium,5,4,2,8,19,5.6,22.4,Basic,Medium,5203.84,228075.2,Medium
project_00246,E-commerce,High,9,10,2,20,22,7.3,52.6,Advanced,High,48041.69,2512505.23,High
project_00247,SaaS,Low,4,3,2,6,15,3.3,10.6,Basic,Medium,2424.9,88716.69,Low
project_00248,IoT,Medium,5,7,2,14,20,4.6,18.4,Basic,Low,7683.46,359433.45,Medium
project_00249,EdTech,High,8,8,2,16,29,6.4,41.0,Advanced,High,34922.4,1909030.88,High
project_00250,Cloud System,Low,5,3,2,6,10,2.3,9.2,Basic,Medium,2700.53,86212.16,Low
project_00251,IoT,Medium,6,7,2,14,22,5.5,26.4,Intermediate,High,15763.27,625376.76,High
project_00252,Cloud System,High,11,7,2,14,30,6.8,59.8,Intermediate,Medium,29802.94,1710818.05,High
project_00253,FinTech,Low,5,3,2,6,10,2.4,9.6,Basic,Low,2549.37,87226.29,Low
project_00254,AI Platform,Medium,6,8,2,16,20,5.0,24.0,Intermediate,High,17675.7,790835.76,High
project_00255,E-commerce,High,12,8,2,16,28,5.8,55.7,Advanced,Medium,45405.71,2600432.37,High
project_00256,E-commerce,Low,4,4,2,8,13,3.0,9.6,Basic,Low,2697.54,81634.02,Low
project_00257,SaaS,Medium,7,5,2,10,19,4.7,26.3,Intermediate,Medium,10975.45,486812.77,Medium
project_00258,IoT,High,8,6,2,12,20,6.9,44.2,Advanced,High,26546.58,1314287.13,High
project_00259,E-commerce,Low,5,3,2,6,10,3.1,12.4,Basic,Low,2618.17,98216.71,Low
project_00260,AI Platform,Medium,8,8,2,16,21,5.8,37.1,Intermediate,Medium,20565.93,759377.34,Medium
project_00261,Cloud System,High,11,9,2,18,23,5.6,49.3,Advanced,High,48538.77,2846483.86,High
project_00262,E-commerce,Low,3,4,2,8,11,3.7,8.9,Basic,Medium,2318.01,77886.04,Low
